accountId,name,initialBalance,transactionNo,transactionType,amount,finalBalance,status
1001,Chintan,5000.0,1,deposit,2000.0,7000.0,Deposit Successful
1001,Chintan,5000.0,2,withdraw,1000.0,6000.0,Withdrawal Successful
1001,Chintan,5000.0,3,deposit,500.0,6500.0,Deposit Successful
1001,Chintan,5000.0,4,withdraw,800.0,5700.0,Withdrawal Successful
1001,Chintan,5000.0,5,withdraw,10000.0,5700.0,Insufficient Balance
1002,Rahul,3000.0,1,deposit,1000.0,4000.0,Deposit Successful
1002,Rahul,3000.0,2,withdraw,2000.0,2000.0,Withdrawal Successful
1002,Rahul,3000.0,3,withdraw,5000.0,2000.0,Insufficient Balance
1003,Priya,10000.0,1,deposit,3000.0,13000.0,Deposit Successful
1003,Priya,10000.0,2,withdraw,2000.0,11000.0,Withdrawal Successful
1003,Priya,10000.0,3,deposit,1000.0,12000.0,Deposit Successful
1003,Priya,10000.0,4,withdraw,5000.0,7000.0,Withdrawal Successful
1004,Amit,2000.0,1,withdraw,500.0,1500.0,Withdrawal Successful
1004,Amit,2000.0,2,deposit,1000.0,2500.0,Deposit Successful
1004,Amit,2000.0,3,withdraw,1000.0,1500.0,Withdrawal Successful
